Nofee 재무제표 (손익계산서),
회계기간,2024.11.11 ~ 2025.10.22
작성일자,2025. 10. 23.
,
=== I. 매출 ===,
계정과목,금액 (원)
매출 - 그로우플러,"1,100,000"
매출 - 이노스페이스,"1,000,000"
매출 - 유모바일,"1,000,000"
매출 - 티아이앤이,"1,000,000"
매출 - 폰슐랭,"1,000,000"
매출 - 해피넷,"600,000"
매출 - 폰샵,"100,000"
매출 합계,"5,800,000"
,
=== II. 판매비와관리비 ===,
계정과목,금액 (원)
사업 운영비,"4,437,990"
서비스 운영비,"3,574,657"
광고선전비,"3,194,327"
복리후생비,"807,790"
외주비,"500,000"
통신비,"86,640"
세금과공과,"82,210"
접대비,"9,400"
여비교통비,"1,350"
,
[판매비와관리비 상세],
  광고선전비 - 페이스북,"2,752,103"
  광고선전비 - 카카오,"200,000"
  광고선전비 - 바이럴마케팅,"130,000"
  광고선전비 - 구글,"82,224"
  광고선전비 - 카카오채널,"30,000"
  세금과공과,"82,210"
  복리후생비 - 식비,"605,790"
  복리후생비 - 커피/음료,"192,000"
  복리후생비 - 편의점,"10,000"
  서비스 운영비 - AWS,"3,466,284"
  서비스 운영비 - Webflow,"50,825"
  서비스 운영비 - SSL,"50,600"
  서비스 운영비 - Anthropic,"6,948"
  사업 운영비 - 사무실,"3,291,990"
  사업 운영비 - 장비/비품,"514,000"
  사업 운영비 - 보험료,"439,600"
  사업 운영비 - 보증금이자,"100,000"
  사업 운영비 - 인증서,"92,400"
  통신비,"86,640"
  외주비,"500,000"
  여비교통비,"1,350"
  접대비,"9,400"
,
판매비와관리비 합계,"12,694,364"
,
=== III. 영업손익 ===,
영업이익(손실),"(6,894,364)"
,
=== IV. 당기순손익 계산 ===,
계정,금액 (원)
매출,"5,800,000"
(-) 판매비와관리비,"12,694,364"
= 영업이익(손실),"(6,894,364)"
(+) 영업외수익,"347,986"
(-) 영업외비용,0
,
당기순이익(손실),"(6,546,378)"
,
[영업외수익 상세],
영업외수익 - 광고비환불,"237,636"
영업외수익 - 임대료환급,"63,260"
영업외수익 - 캐시백,"45,867"
영업외수익 - 이자수익,"1,223"
,
=== V. 재무비율 분석 ===,
비용/매출 비율,218.87%
영업이익률,-118.87%
당기순이익률,-112.87%
,
=== VI. 차입금 및 자산 (손익계산서 외) ===,
[차입금],
차입금 - 송호빈,"20,000,000"
차입금 - 김선호,"14,950,000"
차입금 합계,"34,950,000"
,
[차입금 상환],
차입금상환 - 김선호,"10,000,000"
차입금상환 - 송호빈,"10,000,000"
상환 합계,"20,000,000"
,
순차입금 (차입금 - 상환),"14,950,000"
,
[보증금],
보증금 - 사무실,"(9,000,000)"
보증금 합계,"9,000,000"
,
,
=== VII. 자본변동 (손익계산서 외) ===,
구분,금액 (원)
자본금 - 김선호,"1,700,000"
자본금 - 송호빈,"1,700,000"
자본금 - 정동민,"1,700,000"
,
자본금 입금 합계,"5,100,000"
자본인출 합계,0
순자본변동,"5,100,000"
,
=== VIII. 현금 흐름 요약 ===,
항목,금액 (원)
,
[투자 및 차입],
  자본금 투자,"5,150,000"
  차입금 (빌린 돈),"34,950,000"
  차입금 상환,"(20,000,000)"
  자본인출,0
,
[자산 증감],
  보증금 지출 (자산 증가),"(9,000,000)"
,
[영업 활동],
  매출,"5,800,000"
  비용 지출 (통장),"(12,694,364)"
  영업외수익,"347,986"
  = 통장 순손익,"(6,546,378)"
,
[통장 잔액 계산],
  기초 잔액,0
  순투자 (투자 - 인출),"5,100,000"
  순차입 (차입 - 상환),"14,950,000"
  보증금 지출,"(9,000,000)"
  통장 순손익,"(6,546,378)"
  차입금 이득 조정,"50,000"
,
= 현재 통장 잔액,"4,553,622"
