통신사,기기명,product_group_nm,지원유형,요금제,횟수
SK,SM-S937N,갤럭시 S25 엣지,공시,100k,4
SK,SM-S937N,갤럭시 S25 엣지,선약,100k,4
SK,SM-S937N,갤럭시 S25 엣지,공시,43k,4
SK,SM-S937N,갤럭시 S25 엣지,공시,69k,4
SK,SM-S937N,갤럭시 S25 엣지,공시,89k,4
SK,SM-S937N,갤럭시 S25 엣지,공시,109k,4
SK,SM-S937N,갤럭시 S25 엣지,선약,43k,4
SK,SM-S937N,갤럭시 S25 엣지,선약,69k,4
SK,SM-S937N,갤럭시 S25 엣지,선약,89k,4
SK,SM-S937N,갤럭시 S25 엣지,선약,109k,4
KT,SM-S911,갤럭시 S23 FE,공시,110k,2
KT,SM-S911,갤럭시 S23 FE,공시,100k,2
KT,SM-S911,갤럭시 S23 FE,공시,90k,2
KT,SM-S911,갤럭시 S23 FE,공시,61k,2
KT,SM-S911,갤럭시 S23 FE,공시,37k,2
KT,SM-S911,갤럭시 S23 FE,선약,110k,2
KT,SM-S911,갤럭시 S23 FE,선약,100k,2
KT,SM-S911,갤럭시 S23 FE,선약,90k,2
KT,SM-S911,갤럭시 S23 FE,선약,61k,2
KT,SM-S911,갤럭시 S23 FE,선약,37k,2
KT,SM-S721NK,갤럭시 S21 FE,공시,110k,2
KT,SM-S721NK,갤럭시 S21 FE,공시,100k,2
KT,SM-S721NK,갤럭시 S21 FE,공시,90k,2
KT,SM-S721NK,갤럭시 S21 FE,공시,61k,2
KT,SM-S721NK,갤럭시 S21 FE,공시,37k,2
KT,SM-S721NK,갤럭시 S21 FE,선약,110k,2
KT,SM-S721NK,갤럭시 S21 FE,선약,100k,2
KT,SM-S721NK,갤럭시 S21 FE,선약,90k,2
KT,SM-S721NK,갤럭시 S21 FE,선약,61k,2
KT,SM-S721NK,갤럭시 S21 FE,선약,37k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,공시,110k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,공시,100k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,공시,90k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,공시,61k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,공시,37k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,선약,110k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,선약,100k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,선약,90k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,선약,61k,2
