date,crawled_at,carrier,manufacturer,scrb_type_name,network_type,device_nm,plan_name,monthly_fee,release_price,public_support_fee,additional_support_fee,total_support_fee,total_price
2025-07-22,2025-07-22 11:05:27,LG,애플,기기변경,5G,iPhone 15 Pro_128GB,외국인 5GB,37000,1540000,208000,31200,239200,1300800
2025-07-22,2025-07-22 11:05:27,LG,기타,기기변경,5G,Apple Watch SE 2024 44mm 스포츠밴드L,외국인 5GB,37000,462000,250000,37500,287500,174500
2025-07-22,2025-07-22 11:05:27,LG,기타,기기변경,5G,iPad Air 13 (M3 모델) 256GB,외국인 5GB,37000,1628000,140000,21000,161000,1467000
2025-07-22,2025-07-22 11:05:27,LG,삼성,기기변경,5G,갤럭시 S25 Ultra 512GB,외국인 5GB,37000,1841400,222000,33300,255300,1586100
2025-07-22,2025-07-22 11:05:27,LG,삼성,기기변경,5G,갤럭시 Z Fold7 512GB,외국인 5GB,37000,2537700,222000,33300,255300,2282400
2025-07-22,2025-07-22 11:05:27,LG,애플,기기변경,5G,iPhone 16 Plus 256GB,외국인 5GB,37000,1496000,66000,9900,75900,1420100
2025-07-22,2025-07-22 11:05:27,LG,애플,기기변경,5G,iPhone 13 128G,외국인 5GB,37000,799700,489000,73350,562350,237350
2025-07-22,2025-07-22 11:05:27,LG,삼성,기기변경,5G,갤럭시 S25 256GB,외국인 5GB,37000,1155000,222000,33300,255300,899700
2025-07-22,2025-07-22 11:05:27,LG,삼성,기기변경,5G,갤럭시 S22 중고폰,외국인 5GB,37000,426100,204000,30600,234600,191500
2025-07-22,2025-07-22 11:05:27,LG,애플,기기변경,5G,iPhone 15_256GB,외국인 5GB,37000,1397000,208000,31200,239200,1157800
2025-07-22,2025-07-22 11:05:28,LG,삼성,기기변경,5G,갤럭시 Z Flip 4 중고폰,외국인 5GB,37000,396100,204000,30600,234600,161500
2025-07-22,2025-07-22 11:05:28,LG,삼성,기기변경,5G,갤럭시 워치8 40mm,외국인 5GB,37000,449900,164000,24600,188600,261300
2025-07-22,2025-07-22 11:05:28,LG,애플,기기변경,5G,iPhone 16 Pro Max 512GB,외국인 5GB,37000,2200000,222000,33300,255300,1944700
2025-07-22,2025-07-22 11:05:28,LG,애플,기기변경,5G,iPhone 16 Pro 1TB,외국인 5GB,37000,2299000,222000,33300,255300,2043700
2025-07-22,2025-07-22 11:05:28,LG,애플,기기변경,5G,iPhone 16 512GB,외국인 5GB,37000,1694000,222000,33300,255300,1438700
2025-07-22,2025-07-22 11:05:28,LG,삼성,기기변경,5G,갤럭시 S23 512GB 중고폰,외국인 5GB,37000,545000,204000,30600,234600,310400
2025-07-22,2025-07-22 11:05:28,LG,기타,기기변경,5G,iPad A16 256GB,외국인 5GB,37000,913000,140000,21000,161000,752000
2025-07-22,2025-07-22 11:05:28,LG,애플,기기변경,5G,iPhone 15 Pro_256GB,외국인 5GB,37000,1694000,208000,31200,239200,1454800
2025-07-22,2025-07-22 11:05:28,LG,애플,기기변경,5G,iPhone 16 Plus 128GB,외국인 5GB,37000,1342000,66000,9900,75900,1266100
2025-07-22,2025-07-22 11:05:28,LG,삼성,기기변경,5G,갤럭시 S22 Ultra 중고폰,외국인 5GB,37000,662100,204000,30600,234600,427500
2025-07-22,2025-07-22 11:05:46,LG,애플,기기변경,LTE,iPhone 15 Pro_128GB,추가 요금 걱정 없는 데이터 69,69000,1540000,370000,55500,425500,1114500
2025-07-22,2025-07-22 11:05:46,LG,기타,기기변경,LTE,Apple Watch SE 2024 44mm 스포츠밴드L,추가 요금 걱정 없는 데이터 69,69000,462000,250000,37500,287500,174500
2025-07-22,2025-07-22 11:05:46,LG,기타,기기변경,LTE,iPad Air 13 (M3 모델) 256GB,추가 요금 걱정 없는 데이터 69,69000,1628000,140000,21000,161000,1467000
2025-07-22,2025-07-22 11:05:46,LG,삼성,기기변경,LTE,갤럭시 S25 Ultra 512GB,추가 요금 걱정 없는 데이터 69,69000,1841400,407000,61050,468050,1373350
2025-07-22,2025-07-22 11:05:46,LG,삼성,기기변경,LTE,갤럭시 Z Fold7 512GB,추가 요금 걱정 없는 데이터 69,69000,2537700,407000,61050,468050,2069650
2025-07-22,2025-07-22 11:05:46,LG,기타,기기변경,LTE,Apple Watch Ultra2 알파인루프 M,추가 요금 걱정 없는 데이터 69,69000,999900,50000,7500,57500,942400
2025-07-22,2025-07-22 11:05:46,LG,애플,기기변경,LTE,iPhone 16 Plus 256GB,추가 요금 걱정 없는 데이터 69,69000,1496000,122000,18300,140300,1355700
2025-07-22,2025-07-22 11:05:46,LG,애플,기기변경,LTE,iPhone 13 128G,추가 요금 걱정 없는 데이터 69,69000,799700,496000,74400,570400,229300
2025-07-22,2025-07-22 11:05:46,LG,삼성,기기변경,LTE,갤럭시 S25 256GB,추가 요금 걱정 없는 데이터 69,69000,1155000,407000,61050,468050,686950
2025-07-22,2025-07-22 11:05:46,LG,삼성,기기변경,LTE,갤럭시 S22 중고폰,추가 요금 걱정 없는 데이터 69,69000,426100,284000,42600,326600,99500
2025-07-22,2025-07-22 11:05:47,LG,애플,기기변경,LTE,iPhone 15_256GB,추가 요금 걱정 없는 데이터 69,69000,1397000,370000,55500,425500,971500
2025-07-22,2025-07-22 11:05:47,LG,삼성,기기변경,LTE,갤럭시 Z Flip 4 중고폰,추가 요금 걱정 없는 데이터 69,69000,396100,284000,42600,326600,69500
2025-07-22,2025-07-22 11:05:47,LG,삼성,기기변경,LTE,갤럭시 워치8 40mm,추가 요금 걱정 없는 데이터 69,69000,449900,164000,24600,188600,261300
2025-07-22,2025-07-22 11:05:47,LG,애플,기기변경,LTE,iPhone 16 Pro Max 512GB,추가 요금 걱정 없는 데이터 69,69000,2200000,407000,61050,468050,1731950
2025-07-22,2025-07-22 11:05:47,LG,애플,기기변경,LTE,iPhone 16 Pro 1TB,추가 요금 걱정 없는 데이터 69,69000,2299000,407000,61050,468050,1830950
2025-07-22,2025-07-22 11:05:47,LG,애플,기기변경,LTE,iPhone 16 512GB,추가 요금 걱정 없는 데이터 69,69000,1694000,407000,61050,468050,1225950
2025-07-22,2025-07-22 11:05:47,LG,삼성,기기변경,LTE,갤럭시 S23 512GB 중고폰,추가 요금 걱정 없는 데이터 69,69000,545000,346000,51900,397900,147100
2025-07-22,2025-07-22 11:05:47,LG,기타,기기변경,LTE,iPad A16 256GB,추가 요금 걱정 없는 데이터 69,69000,913000,140000,21000,161000,752000
2025-07-22,2025-07-22 11:05:47,LG,애플,기기변경,LTE,iPhone 15 Pro_256GB,추가 요금 걱정 없는 데이터 69,69000,1694000,370000,55500,425500,1268500
2025-07-22,2025-07-22 11:05:47,LG,애플,기기변경,LTE,iPhone 16 Plus 128GB,추가 요금 걱정 없는 데이터 69,69000,1342000,122000,18300,140300,1201700
2025-07-22,2025-07-22 11:06:04,LG,애플,번호이동,5G,iPhone 15 Pro_128GB,외국인 5GB,37000,1540000,208000,31200,239200,1300800
2025-07-22,2025-07-22 11:06:04,LG,기타,번호이동,5G,Apple Watch SE 2024 44mm 스포츠밴드L,외국인 5GB,37000,462000,250000,37500,287500,174500
2025-07-22,2025-07-22 11:06:04,LG,기타,번호이동,5G,iPad Air 13 (M3 모델) 256GB,외국인 5GB,37000,1628000,140000,21000,161000,1467000
2025-07-22,2025-07-22 11:06:04,LG,삼성,번호이동,5G,갤럭시 S25 Ultra 512GB,외국인 5GB,37000,1841400,222000,33300,255300,1586100
2025-07-22,2025-07-22 11:06:04,LG,삼성,번호이동,5G,갤럭시 Z Fold7 512GB,외국인 5GB,37000,2537700,222000,33300,255300,2282400
2025-07-22,2025-07-22 11:06:04,LG,애플,번호이동,5G,iPhone 16 Plus 256GB,외국인 5GB,37000,1496000,66000,9900,75900,1420100
2025-07-22,2025-07-22 11:06:04,LG,애플,번호이동,5G,iPhone 13 128G,외국인 5GB,37000,799700,489000,73350,562350,237350
2025-07-22,2025-07-22 11:06:04,LG,삼성,번호이동,5G,갤럭시 S25 256GB,외국인 5GB,37000,1155000,222000,33300,255300,899700
2025-07-22,2025-07-22 11:06:04,LG,삼성,번호이동,5G,갤럭시 S22 중고폰,외국인 5GB,37000,426100,204000,30600,234600,191500
2025-07-22,2025-07-22 11:06:04,LG,애플,번호이동,5G,iPhone 15_256GB,외국인 5GB,37000,1397000,208000,31200,239200,1157800
2025-07-22,2025-07-22 11:06:05,LG,삼성,번호이동,5G,갤럭시 Z Flip 4 중고폰,외국인 5GB,37000,396100,204000,30600,234600,161500
2025-07-22,2025-07-22 11:06:05,LG,삼성,번호이동,5G,갤럭시 워치8 40mm,외국인 5GB,37000,449900,164000,24600,188600,261300
2025-07-22,2025-07-22 11:06:05,LG,애플,번호이동,5G,iPhone 16 Pro Max 512GB,외국인 5GB,37000,2200000,222000,33300,255300,1944700
2025-07-22,2025-07-22 11:06:05,LG,애플,번호이동,5G,iPhone 16 Pro 1TB,외국인 5GB,37000,2299000,222000,33300,255300,2043700
2025-07-22,2025-07-22 11:06:05,LG,애플,번호이동,5G,iPhone 16 512GB,외국인 5GB,37000,1694000,222000,33300,255300,1438700
2025-07-22,2025-07-22 11:06:05,LG,삼성,번호이동,5G,갤럭시 S23 512GB 중고폰,외국인 5GB,37000,545000,204000,30600,234600,310400
2025-07-22,2025-07-22 11:06:05,LG,기타,번호이동,5G,iPad A16 256GB,외국인 5GB,37000,913000,140000,21000,161000,752000
2025-07-22,2025-07-22 11:06:05,LG,애플,번호이동,5G,iPhone 15 Pro_256GB,외국인 5GB,37000,1694000,208000,31200,239200,1454800
2025-07-22,2025-07-22 11:06:05,LG,애플,번호이동,5G,iPhone 16 Plus 128GB,외국인 5GB,37000,1342000,66000,9900,75900,1266100
2025-07-22,2025-07-22 11:06:05,LG,삼성,번호이동,5G,갤럭시 S22 Ultra 중고폰,외국인 5GB,37000,662100,204000,30600,234600,427500
2025-07-22,2025-07-22 11:06:23,LG,애플,번호이동,LTE,iPhone 15 Pro_128GB,추가 요금 걱정 없는 데이터 69,69000,1540000,370000,55500,425500,1114500
2025-07-22,2025-07-22 11:06:23,LG,기타,번호이동,LTE,Apple Watch SE 2024 44mm 스포츠밴드L,추가 요금 걱정 없는 데이터 69,69000,462000,250000,37500,287500,174500
2025-07-22,2025-07-22 11:06:23,LG,기타,번호이동,LTE,iPad Air 13 (M3 모델) 256GB,추가 요금 걱정 없는 데이터 69,69000,1628000,140000,21000,161000,1467000
2025-07-22,2025-07-22 11:06:23,LG,삼성,번호이동,LTE,갤럭시 S25 Ultra 512GB,추가 요금 걱정 없는 데이터 69,69000,1841400,407000,61050,468050,1373350
2025-07-22,2025-07-22 11:06:23,LG,삼성,번호이동,LTE,갤럭시 Z Fold7 512GB,추가 요금 걱정 없는 데이터 69,69000,2537700,407000,61050,468050,2069650
2025-07-22,2025-07-22 11:06:23,LG,기타,번호이동,LTE,Apple Watch Ultra2 알파인루프 M,추가 요금 걱정 없는 데이터 69,69000,999900,50000,7500,57500,942400
2025-07-22,2025-07-22 11:06:23,LG,애플,번호이동,LTE,iPhone 16 Plus 256GB,추가 요금 걱정 없는 데이터 69,69000,1496000,122000,18300,140300,1355700
2025-07-22,2025-07-22 11:06:23,LG,애플,번호이동,LTE,iPhone 13 128G,추가 요금 걱정 없는 데이터 69,69000,799700,496000,74400,570400,229300
2025-07-22,2025-07-22 11:06:23,LG,삼성,번호이동,LTE,갤럭시 S25 256GB,추가 요금 걱정 없는 데이터 69,69000,1155000,407000,61050,468050,686950
2025-07-22,2025-07-22 11:06:23,LG,삼성,번호이동,LTE,갤럭시 S22 중고폰,추가 요금 걱정 없는 데이터 69,69000,426100,284000,42600,326600,99500
2025-07-22,2025-07-22 11:06:24,LG,애플,번호이동,LTE,iPhone 15_256GB,추가 요금 걱정 없는 데이터 69,69000,1397000,370000,55500,425500,971500
2025-07-22,2025-07-22 11:06:24,LG,삼성,번호이동,LTE,갤럭시 Z Flip 4 중고폰,추가 요금 걱정 없는 데이터 69,69000,396100,284000,42600,326600,69500
2025-07-22,2025-07-22 11:06:24,LG,삼성,번호이동,LTE,갤럭시 워치8 40mm,추가 요금 걱정 없는 데이터 69,69000,449900,164000,24600,188600,261300
2025-07-22,2025-07-22 11:06:24,LG,애플,번호이동,LTE,iPhone 16 Pro Max 512GB,추가 요금 걱정 없는 데이터 69,69000,2200000,417000,61050,478050,1721950
2025-07-22,2025-07-22 11:06:24,LG,애플,번호이동,LTE,iPhone 16 Pro 1TB,추가 요금 걱정 없는 데이터 69,69000,2299000,417000,61050,478050,1820950
2025-07-22,2025-07-22 11:06:24,LG,애플,번호이동,LTE,iPhone 16 512GB,추가 요금 걱정 없는 데이터 69,69000,1694000,417000,61050,478050,1215950
2025-07-22,2025-07-22 11:06:24,LG,삼성,번호이동,LTE,갤럭시 S23 512GB 중고폰,추가 요금 걱정 없는 데이터 69,69000,545000,346000,51900,397900,147100
2025-07-22,2025-07-22 11:06:24,LG,기타,번호이동,LTE,iPad A16 256GB,추가 요금 걱정 없는 데이터 69,69000,913000,140000,21000,161000,752000
2025-07-22,2025-07-22 11:06:24,LG,애플,번호이동,LTE,iPhone 15 Pro_256GB,추가 요금 걱정 없는 데이터 69,69000,1694000,370000,55500,425500,1268500
2025-07-22,2025-07-22 11:06:24,LG,애플,번호이동,LTE,iPhone 16 Plus 128GB,추가 요금 걱정 없는 데이터 69,69000,1342000,122000,18300,140300,1201700
2025-07-22,2025-07-22 11:06:41,LG,애플,신규가입,5G,iPhone 15 Pro_128GB,외국인 5GB,37000,1540000,208000,31200,239200,1300800
2025-07-22,2025-07-22 11:06:41,LG,기타,신규가입,5G,Apple Watch SE 2024 44mm 스포츠밴드L,외국인 5GB,37000,462000,250000,37500,287500,174500
2025-07-22,2025-07-22 11:06:41,LG,기타,신규가입,5G,iPad Air 13 (M3 모델) 256GB,외국인 5GB,37000,1628000,140000,21000,161000,1467000
2025-07-22,2025-07-22 11:06:41,LG,삼성,신규가입,5G,갤럭시 S25 Ultra 512GB,외국인 5GB,37000,1841400,222000,33300,255300,1586100
2025-07-22,2025-07-22 11:06:41,LG,삼성,신규가입,5G,갤럭시 Z Fold7 512GB,외국인 5GB,37000,2537700,222000,33300,255300,2282400
2025-07-22,2025-07-22 11:06:41,LG,애플,신규가입,5G,iPhone 16 Plus 256GB,외국인 5GB,37000,1496000,66000,9900,75900,1420100
2025-07-22,2025-07-22 11:06:41,LG,애플,신규가입,5G,iPhone 13 128G,외국인 5GB,37000,799700,489000,73350,562350,237350
2025-07-22,2025-07-22 11:06:41,LG,삼성,신규가입,5G,갤럭시 S25 256GB,외국인 5GB,37000,1155000,222000,33300,255300,899700
2025-07-22,2025-07-22 11:06:41,LG,삼성,신규가입,5G,갤럭시 S22 중고폰,외국인 5GB,37000,426100,204000,30600,234600,191500
2025-07-22,2025-07-22 11:06:41,LG,애플,신규가입,5G,iPhone 15_256GB,외국인 5GB,37000,1397000,208000,31200,239200,1157800
2025-07-22,2025-07-22 11:06:42,LG,삼성,신규가입,5G,갤럭시 Z Flip 4 중고폰,외국인 5GB,37000,396100,204000,30600,234600,161500
2025-07-22,2025-07-22 11:06:42,LG,삼성,신규가입,5G,갤럭시 워치8 40mm,외국인 5GB,37000,449900,164000,24600,188600,261300
2025-07-22,2025-07-22 11:06:42,LG,애플,신규가입,5G,iPhone 16 Pro Max 512GB,외국인 5GB,37000,2200000,222000,33300,255300,1944700
2025-07-22,2025-07-22 11:06:42,LG,애플,신규가입,5G,iPhone 16 Pro 1TB,외국인 5GB,37000,2299000,222000,33300,255300,2043700
2025-07-22,2025-07-22 11:06:42,LG,애플,신규가입,5G,iPhone 16 512GB,외국인 5GB,37000,1694000,222000,33300,255300,1438700
2025-07-22,2025-07-22 11:06:42,LG,삼성,신규가입,5G,갤럭시 S23 512GB 중고폰,외국인 5GB,37000,545000,204000,30600,234600,310400
2025-07-22,2025-07-22 11:06:42,LG,기타,신규가입,5G,iPad A16 256GB,외국인 5GB,37000,913000,140000,21000,161000,752000
2025-07-22,2025-07-22 11:06:42,LG,애플,신규가입,5G,iPhone 15 Pro_256GB,외국인 5GB,37000,1694000,208000,31200,239200,1454800
2025-07-22,2025-07-22 11:06:42,LG,애플,신규가입,5G,iPhone 16 Plus 128GB,외국인 5GB,37000,1342000,66000,9900,75900,1266100
2025-07-22,2025-07-22 11:06:42,LG,삼성,신규가입,5G,갤럭시 S22 Ultra 중고폰,외국인 5GB,37000,662100,204000,30600,234600,427500
2025-07-22,2025-07-22 11:06:59,LG,애플,신규가입,LTE,iPhone 15 Pro_128GB,추가 요금 걱정 없는 데이터 69,69000,1540000,370000,55500,425500,1114500
2025-07-22,2025-07-22 11:06:59,LG,기타,신규가입,LTE,Apple Watch SE 2024 44mm 스포츠밴드L,추가 요금 걱정 없는 데이터 69,69000,462000,250000,37500,287500,174500
2025-07-22,2025-07-22 11:06:59,LG,기타,신규가입,LTE,iPad Air 13 (M3 모델) 256GB,추가 요금 걱정 없는 데이터 69,69000,1628000,140000,21000,161000,1467000
2025-07-22,2025-07-22 11:06:59,LG,삼성,신규가입,LTE,갤럭시 S25 Ultra 512GB,추가 요금 걱정 없는 데이터 69,69000,1841400,407000,61050,468050,1373350
2025-07-22,2025-07-22 11:06:59,LG,삼성,신규가입,LTE,갤럭시 Z Fold7 512GB,추가 요금 걱정 없는 데이터 69,69000,2537700,407000,61050,468050,2069650
2025-07-22,2025-07-22 11:06:59,LG,기타,신규가입,LTE,Apple Watch Ultra2 알파인루프 M,추가 요금 걱정 없는 데이터 69,69000,999900,50000,7500,57500,942400
2025-07-22,2025-07-22 11:06:59,LG,애플,신규가입,LTE,iPhone 16 Plus 256GB,추가 요금 걱정 없는 데이터 69,69000,1496000,122000,18300,140300,1355700
