date,crawled_at,carrier,manufacturer,scrb_type_name,network_type,device_nm,plan_name,monthly_fee,release_price,public_support_fee,additional_support_fee,total_support_fee,total_price
2025.07.22,2025-07-22 14:02:48,SK,삼성,기기변경,5G,갤럭시 Z 폴드7 256G,0 청년 다이렉트 69(T 우주),69000,2379300,0,0,0,2379300
2025.07.22,2025-07-22 14:02:48,SK,삼성,기기변경,5G,갤럭시 Z 플립7 256G,0 청년 다이렉트 69(T 우주),69000,1485000,0,0,0,1485000
2025.07.22,2025-07-22 14:02:48,SK,삼성,기기변경,5G,갤럭시 Z 플립7 512G,0 청년 다이렉트 69(T 우주),69000,1643400,0,0,0,1643400
2025.07.15,2025-07-22 14:02:48,SK,삼성,기기변경,5G,갤럭시 Z 폴드7 512G,0 청년 다이렉트 69(T 우주),69000,2537700,0,0,0,2537700
2025.07.15,2025-07-22 14:02:48,SK,삼성,기기변경,5G,갤럭시 Z 플립7 FE 256G,0 청년 다이렉트 69(T 우주),69000,1199000,0,0,0,1199000
2025.07.15,2025-07-22 14:02:48,SK,삼성,기기변경,5G,갤럭시 Z 폴드7 1T,0 청년 다이렉트 69(T 우주),69000,2933700,0,0,0,2933700
2025.07.01,2025-07-22 14:02:48,SK,삼성,기기변경,5G,갤럭시 와이드8 128G,0 청년 다이렉트 69(T 우주),69000,374000,0,0,0,374000
2025.07.01,2025-07-22 14:02:49,SK,삼성,기기변경,5G,갤럭시 와이드8 128G,0 청년 다이렉트 69(T 우주),69000,374000,0,0,0,374000
2025.07.01,2025-07-22 14:02:49,SK,삼성,기기변경,5G,갤럭시 와이드8 128G,0 청년 다이렉트 69(T 우주),69000,374000,0,0,0,374000
2025.06.26,2025-07-22 14:02:49,SK,기타,기기변경,5G,홍미노트 14 256G,0 청년 다이렉트 69(T 우주),69000,319000,0,0,0,319000
2025.06.26,2025-07-22 14:02:49,SK,기타,기기변경,5G,홍미노트 14 256G,0 청년 다이렉트 69(T 우주),69000,319000,0,0,0,319000
2025.06.26,2025-07-22 14:02:49,SK,기타,기기변경,5G,홍미노트 14 256G,0 청년 다이렉트 69(T 우주),69000,319000,0,0,0,319000
2025.06.24,2025-07-22 14:02:49,SK,애플,기기변경,5G,iPhone 16e 128G,0 청년 다이렉트 69(T 우주),69000,990000,0,0,0,990000
2025.06.24,2025-07-22 14:02:49,SK,삼성,기기변경,5G,갤럭시 S24 울트라 5G 512G,0 청년 다이렉트 69(T 우주),69000,1841400,0,0,0,1841400
2025.06.24,2025-07-22 14:02:49,SK,애플,기기변경,5G,iPhone 16e 512G,0 청년 다이렉트 69(T 우주),69000,1430000,0,0,0,1430000
2025.06.24,2025-07-22 14:02:49,SK,애플,기기변경,5G,iPhone 16 Plus 256G,0 청년 다이렉트 69(T 우주),69000,1496000,0,0,0,1496000
2025.06.24,2025-07-22 14:02:49,SK,삼성,기기변경,5G,갤럭시 S24+ 5G 256G,0 청년 다이렉트 69(T 우주),69000,1353000,0,0,0,1353000
2025.06.24,2025-07-22 14:02:49,SK,삼성,기기변경,5G,갤럭시 S24+ 5G 512G,0 청년 다이렉트 69(T 우주),69000,1496000,0,0,0,1496000
2025.06.24,2025-07-22 14:02:49,SK,애플,기기변경,5G,iPhone 16e 256G,0 청년 다이렉트 69(T 우주),69000,1133000,0,0,0,1133000
2025.06.24,2025-07-22 14:02:49,SK,삼성,기기변경,5G,갤럭시 S24 5G 256G,0 청년 다이렉트 69(T 우주),69000,1155000,0,0,0,1155000
2025.06.24,2025-07-22 14:02:51,SK,삼성,기기변경,5G,갤럭시 S24 5G 512G,0 청년 다이렉트 69(T 우주),69000,1298000,0,0,0,1298000
2025.06.24,2025-07-22 14:02:51,SK,삼성,기기변경,5G,갤럭시 S24 울트라 5G 256G,0 청년 다이렉트 69(T 우주),69000,1698400,0,0,0,1698400
2025.06.24,2025-07-22 14:02:51,SK,애플,기기변경,5G,iPhone 16 Plus 128G,0 청년 다이렉트 69(T 우주),69000,1342000,0,0,0,1342000
2025.06.24,2025-07-22 14:02:51,SK,애플,기기변경,5G,iPhone 16 Plus 512G,0 청년 다이렉트 69(T 우주),69000,1793000,0,0,0,1793000
2025.06.20,2025-07-22 14:02:51,SK,애플,기기변경,5G,iPhone 13 256G,0 청년 다이렉트 69(T 우주),69000,902000,0,0,0,902000
2025.06.20,2025-07-22 14:02:51,SK,애플,기기변경,5G,iPhone 13 128G,0 청년 다이렉트 69(T 우주),69000,759000,0,0,0,759000
2025.06.20,2025-07-22 14:02:51,SK,애플,기기변경,5G,iPhone 13 512G,0 청년 다이렉트 69(T 우주),69000,1166000,0,0,0,1166000
2025.06.12,2025-07-22 14:02:51,SK,삼성,기기변경,5G,갤럭시 A36 128G,0 청년 다이렉트 69(T 우주),69000,499400,0,0,0,499400
2025.06.12,2025-07-22 14:02:51,SK,삼성,기기변경,5G,갤럭시 A36 128G,0 청년 다이렉트 69(T 우주),69000,499400,0,0,0,499400
2025.06.12,2025-07-22 14:02:51,SK,삼성,기기변경,5G,갤럭시 A36 128G,0 청년 다이렉트 69(T 우주),69000,499400,0,0,0,499400
2025.06.10,2025-07-22 14:02:51,SK,삼성,기기변경,5G,갤럭시 S25 256G,0 청년 다이렉트 69(T 우주),69000,1155000,0,0,0,1155000
2025.06.10,2025-07-22 14:02:51,SK,삼성,기기변경,5G,갤럭시 S25+ 256G,0 청년 다이렉트 69(T 우주),69000,1353000,0,0,0,1353000
2025.06.10,2025-07-22 14:02:51,SK,애플,기기변경,5G,iPhone 16 Pro Max 256G,0 청년 다이렉트 69(T 우주),69000,1892000,0,0,0,1892000
2025.06.10,2025-07-22 14:02:51,SK,삼성,기기변경,5G,갤럭시 S25+ 512G,0 청년 다이렉트 69(T 우주),69000,1496000,0,0,0,1496000
