date,carrier,manufacturer,device_nm,product_group_nm,storage,dealer,join_type,support_type,rate_plan,rate_plan_month_fee,retail_price,total_support_fee,dealer_subsidy,origin_installment_principal,origin_month_device_price,origin_month_price,month_rate_plan_price,installment_principal,month_device_price,month_price,margin,margin_amount
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,신규가입,공시,(유튜브 프리미엄) 초이스 스페셜,110000.0,1496000.0,575000.0,370000.0,551000.0,22958.0,132958.0,110000,601141.0,25048.0,135048.0,0.091,50141.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,신규가입,공시,Y 스페셜,100000.0,1496000.0,575000.0,370000.0,551000.0,22958.0,122958.0,100000,601141.0,25048.0,125048.0,0.091,50141.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,신규가입,공시,넷플릭스 초이스 베이직,90000.0,1496000.0,575000.0,220000.0,701000.0,29208.0,119208.0,90000,750771.0,31282.0,121282.0,0.071,49771.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,신규가입,공시,5G 심플 30GB,61000.0,1496000.0,381800.0,100000.0,1014200.0,42258.0,103258.0,61000,1085194.0,45216.0,106216.0,0.07,70994.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,신규가입,공시,5G 슬림 4GB,37000.0,1496000.0,241500.0,80000.0,1174500.0,48938.0,67450.0,18513,1256715.0,52363.0,70876.0,0.07,82215.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,번호이동,공시,(유튜브 프리미엄) 초이스 스페셜,110000.0,1496000.0,575000.0,660000.0,261000.0,10875.0,120875.0,110000,311112.0,12963.0,122963.0,0.192,50112.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,번호이동,공시,Y 스페셜,100000.0,1496000.0,575000.0,610000.0,311000.0,12958.0,112958.0,100000,361071.0,15045.0,115045.0,0.161,50071.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,번호이동,공시,넷플릭스 초이스 베이직,90000.0,1496000.0,575000.0,610000.0,311000.0,12958.0,102958.0,90000,361071.0,15045.0,105045.0,0.161,50071.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,번호이동,공시,5G 심플 30GB,61000.0,1496000.0,381800.0,170000.0,944200.0,39342.0,100342.0,61000,1010294.0,42096.0,103096.0,0.07,66094.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,번호이동,공시,5G 슬림 4GB,37000.0,1496000.0,241500.0,80000.0,1174500.0,48938.0,67450.0,18513,1256715.0,52363.0,70876.0,0.07,82215.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,기기변경,공시,(유튜브 프리미엄) 초이스 스페셜,110000.0,1496000.0,575000.0,450000.0,471000.0,19625.0,129625.0,110000,520926.0,21705.0,131705.0,0.106,49926.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,기기변경,공시,Y 스페셜,100000.0,1496000.0,575000.0,450000.0,471000.0,19625.0,119625.0,100000,520926.0,21705.0,121705.0,0.106,49926.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,기기변경,공시,넷플릭스 초이스 베이직,90000.0,1496000.0,575000.0,450000.0,471000.0,19625.0,109625.0,90000,520926.0,21705.0,111705.0,0.106,49926.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,기기변경,공시,5G 심플 30GB,61000.0,1496000.0,381800.0,120000.0,994200.0,41425.0,102425.0,61000,1063794.0,44325.0,105325.0,0.07,69594.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,기기변경,공시,5G 슬림 4GB,37000.0,1496000.0,241500.0,30000.0,1224500.0,51021.0,69534.0,18513,1310215.0,54592.0,73105.0,0.07,85715.0
