date,carrier,manufacturer,device_nm,product_group_nm,storage,dealer,join_type,support_type,rate_plan,rate_plan_month_fee,retail_price,total_support_fee,dealer_subsidy,origin_installment_principal,origin_month_device_price,origin_month_price,month_rate_plan_price,installment_principal,month_device_price,month_price,margin,margin_amount
2025. 7. 14,KT,삼성,SM-F966,갤럭시 Z 폴드 7,256GB,맥스,번호이동,공시,티빙/지니/밀리 초이스 스페셜,110000.0,2379300.0,500000.0,380000.0,1499300.0,62471.0,127181.0,64710,2099020.0,87459.0,152169.0,0.4,599720.0
2025. 7. 14,KT,삼성,SM-F966,갤럭시 Z 폴드 7,256GB,맥스,번호이동,공시,스페셜,100000.0,2379300.0,500000.0,330000.0,1549300.0,64554.0,126688.0,62134,2169020.0,90376.0,152510.0,0.4,619720.0
2025. 7. 14,KT,삼성,SM-F966,갤럭시 Z 폴드 7,256GB,맥스,번호이동,공시,티빙/지니/밀리 초이스 베이직,90000.0,2379300.0,500000.0,330000.0,1549300.0,64554.0,124113.0,59559,2169020.0,90376.0,149935.0,0.4,619720.0
2025. 7. 14,KT,삼성,SM-F966,갤럭시 Z 폴드 7,256GB,맥스,번호이동,공시,5G 심플 30GB,61000.0,2379300.0,332000.0,280000.0,1767300.0,73638.0,125728.0,52090,2474220.0,103092.0,155182.0,0.4,706920.0
2025. 7. 14,KT,삼성,SM-F966,갤럭시 Z 폴드 7,256GB,맥스,번호이동,공시,5G 슬림 4GB,37000.0,2379300.0,210000.0,140000.0,2029300.0,84554.0,103067.0,18513,2841020.0,118376.0,136889.0,0.4,811720.0
2025. 7. 14,KT,삼성,SM-F966,갤럭시 Z 폴드 7,256GB,맥스,번호이동,선약,티빙/지니/밀리 초이스 스페셜,110000.0,2379300.0,0.0,380000.0,1999300.0,83304.0,128201.0,44897,2799020.0,116626.0,161523.0,0.4,799720.0
2025. 7. 14,KT,삼성,SM-F966,갤럭시 Z 폴드 7,256GB,맥스,번호이동,선약,스페셜,100000.0,2379300.0,0.0,330000.0,2049300.0,85388.0,128950.0,43562,2869020.0,119542.0,163104.0,0.4,819720.0
2025. 7. 14,KT,삼성,SM-F966,갤럭시 Z 폴드 7,256GB,맥스,번호이동,선약,티빙/지니/밀리 초이스 베이직,90000.0,2379300.0,0.0,330000.0,2049300.0,85388.0,127614.0,42226,2869020.0,119542.0,161768.0,0.4,819720.0
2025. 7. 14,KT,삼성,SM-F966,갤럭시 Z 폴드 7,256GB,맥스,번호이동,선약,5G 심플 30GB,61000.0,2379300.0,0.0,280000.0,2099300.0,87471.0,125824.0,38353,2939020.0,122459.0,160812.0,0.4,839720.0
2025. 7. 14,KT,삼성,SM-F966,갤럭시 Z 폴드 7,256GB,맥스,번호이동,선약,5G 슬림 4GB,37000.0,2379300.0,0.0,140000.0,2239300.0,93304.0,105705.0,12401,3135020.0,130626.0,143027.0,0.4,895720.0
