index,location,region,link
0,가게 입구_논공규통신,가게 입구,https://www.daangn.com/kr/local-profile/%EB%85%BC%EA%B3%B5%EA%B7%9C%ED%86%B5%EC%8B%A0-k1g4376zv8zq/
1,가격 상담받구_당근폰,가격 상담받구,https://www.daangn.com/kr/local-profile/%EB%8B%B9%EA%B7%BC%ED%8F%B0-56g6hrzcnfk5/
2,가격에 폰구_휴대폰성지 옆커폰 이충점,가격에 폰구,https://www.daangn.com/kr/local-profile/%ED%9C%B4%EB%8C%80%ED%8F%B0%EC%84%B1%EC%A7%80-%EC%98%86%EC%BB%A4%ED%8F%B0-%EC%9D%B4%EC%B6%A9%EC%A0%90-bqk93xknrkyc/
3,가정용 가구_다다렌탈샵,가정용 가구,https://www.daangn.com/kr/local-profile/%EB%8B%A4%EB%8B%A4%EB%A0%8C%ED%83%88%EC%83%B5-vxj1sxxmzcnm/
4,가정용 가구_대여는 여기서 다대여,가정용 가구,https://www.daangn.com/kr/local-profile/%EB%8C%80%EC%97%AC%EB%8A%94-%EC%97%AC%EA%B8%B0%EC%84%9C-%EB%8B%A4%EB%8C%80%EC%97%AC-qnmw7hg3ez7o/
5,검색 공구_공구폰봉선점,검색 공구,https://www.daangn.com/kr/local-profile/%EA%B3%B5%EA%B5%AC%ED%8F%B0%EB%B4%89%EC%84%A0%EC%A0%90-nmdn1c7kp781/
6,검색 광주데이터복구_광주데이터복구 모바일픽스,검색 광주데이터복구,https://www.daangn.com/kr/local-profile/%EA%B4%91%EC%A3%BC%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B3%B5%EA%B5%AC-%EB%AA%A8%EB%B0%94%EC%9D%BC%ED%94%BD%EC%8A%A4-qzvskjg99uoc/
7,검색 금천구_금천구 독산점휴대폰성지,검색 금천구,https://www.daangn.com/kr/local-profile/%EA%B8%88%EC%B2%9C%EA%B5%AC-%EB%8F%85%EC%82%B0%EC%A0%90%ED%9C%B4%EB%8C%80%ED%8F%B0%EC%84%B1%EC%A7%80-wba84u8hbrbf/
8,검색 대구_대구 휴대폰성지 옆커폰 서구점,검색 대구,https://www.daangn.com/kr/local-profile/%EB%8C%80%EA%B5%AC-%ED%9C%B4%EB%8C%80%ED%8F%B0%EC%84%B1%EC%A7%80-%EC%98%86%EC%BB%A4%ED%8F%B0-%EC%84%9C%EA%B5%AC%EC%A0%90-4wif9iyot78d/
9,검색 대구_대구 휴대폰성지 옆커폰반월당점,검색 대구,https://www.daangn.com/kr/local-profile/%EB%8C%80%EA%B5%AC-%ED%9C%B4%EB%8C%80%ED%8F%B0%EC%84%B1%EC%A7%80-%EC%98%86%EC%BB%A4%ED%8F%B0%EB%B0%98%EC%9B%94%EB%8B%B9%EC%A0%90-ugsrfsvrq5z8/
